taskId;performed;employee_name;start_time;
T1;1;Javier;880;
T2;0;;;
T3;0;;;
T4;1;Nicolas;944;
T5;1;Ana;660;
T6;0;;;
T7;0;;;
T8;0;;;
T9;0;;;
T10;1;Carolina;802;
T11;1;Carolina;860;
T12;1;Carolina;751;
T13;1;Carolina;911;
T14;1;Javier;591;
T15;1;Maria;941;
T16;1;Maria;520;
T17;1;Javier;545;
T18;1;Javier;820;
T19;1;Javier;724;
T20;0;;;
T21;1;Daniel;882;
T22;0;;;
T23;1;Carolina;1031;
T24;1;Daniel;935;
T25;0;;;
T26;1;Daniel;990;
T27;1;Daniel;566;
T28;1;Daniel;657;
T29;1;Daniel;713;
T30;0;;;
T31;1;Daniel;828;
T32;0;;;
T33;1;Carolina;484;
T34;1;Carolina;984;
T35;0;;;
T36;1;Daniel;761;
T37;1;Daniel;511;
T38;0;;;
T39;1;Nicolas;498;
T40;1;Nicolas;1017;
T41;1;Maria;716;
T42;1;Maria;665;
T43;1;Carolina;618;
T44;1;Nicolas;564;
T45;0;;;
T46;1;Paola;654;
T47;1;Paola;697;
T48;1;Paola;599;
T49;1;Paola;746;
T50;0;;;
T51;0;;;
T52;1;Nicolas;656;
T53;1;Paola;817;
T54;0;;;
T55;0;;;
T56;1;Paola;493;
T57;0;;;
T58;1;Paola;910;
T59;1;Paola;971;
T60;1;Diego;940;
T61;1;Diego;667;
T62;0;;;
T63;0;;;
T64;1;Paola;1023;
T65;1;Diego;885;
T66;1;Diego;753;
T67;1;Ana;715;
T68;1;Ana;549;
T69;1;Ana;598;
T70;1;Diego;543;
T71;0;;;
T72;1;Ana;1021;
T73;1;Ana;493;
T74;0;;;
T75;0;;;
T76;1;Nicolas;737;
T77;1;Nicolas;788;
T78;0;;;
T79;0;;;
T80;0;;;
T81;0;;;
T82;1;Nicolas;893;
T83;1;Javier;1035;
T84;1;Ana;942;
T85;1;Ana;864;
T86;1;Carolina;549;
T87;1;Maria;1031;
T88;0;;;
T89;0;;;
T90;1;Javier;672;
T91;1;Ana;767;
T92;1;Maria;830;
T93;0;;;
T94;0;;;
T95;1;Carolina;669;
T96;1;Diego;813;
T97;0;;;
